NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT03713268,Intraoperative OCT Guidance of Intraocular Surgery II,https://clinicaltrials.gov/study/NCT03713268,RECRUITING,Macular Holes|Epiretinal Membrane|Diabetic Retinopathy|Retinal Detachment|Retinal Disease|Preretinal Fibrosis|Cataract|Ocular Tumor|Strabismus|Healthy,DEVICE: Microscope integrated optical coherence tomography,"Retinal and/or corneal microscope integrated optical coherence tomography image capture, Ability to capture images, Year 1|Quality of retinal and/or corneal microscope integrated optical coherence tomography image capture, Quality of MIOCT images scored based on standard microanatomy and ability to detect presence or absence of ocular pathologies based on review by a masked grader., Year 1|Retinal vascular flow on optical coherence tomography angiography (OCTA) versus fluorescein angiography, Cross correlation of ability to capture vessels and vessel pathology between OCTA and fluorescein angiographic images., Year 1|Assessment of change in pattern of ocular vascular flow before and after standard clinical surgical steps., Presence or absence of change in ocular morphology in pattern of vascular flow compared to prior to surgical steps, Year 1|Assessment of change in ocular morphology before and after standard surgical steps, Presence or absence of change in ocular morphology before and after standard surgical steps, Year 1|Estimate of subretinal fluid volume before and after surgery for retinal detachment based on surgical view versus based on OCT output, Volume estimates from surgeons analyzed relative to the postoperative calculated volume from the intraoperative MIOCT, Year 1",Duke University,262,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-09-30
NCT04397068,Compare ELP in Patients With Elective Phaco-VTX Surgery in One Eye and a Single Lens Phaco Surgery on the Other Eye,https://clinicaltrials.gov/study/NCT04397068,COMPLETED,Macular Pucker,PROCEDURE: phaco-vitrectomy,"Compare if ELP is different or the same at phaco or phaco-vitrectomy, Anterior chamber depth measured using IOL master., 6 - 8 weeks",Universitaire Ziekenhuizen KU Leuven,20,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2016-03-01
NCT04158791,Outcomes Based on the Pre-operative Integrity of IS/OS Junction in Idiopathic Epimacular Membrane Surgery,https://clinicaltrials.gov/study/NCT04158791,COMPLETED,Epimacular Membrane,PROCEDURE: pars plana vitrectomy with epimacular membrane removal and internal limiting membrane peeling,"Imortance of the pre-operative integrity or not of the inner segment (IS) and outer segment (OS) photoreceptoral junction in the change of the post-operative visual acuity after 1, 3 and 6 months of follow-up after surgical treatment for EMM, Visual acuity (VA)was assessed at baseline (pre-operative) and after 1, 3 and 6 months of follow-up after surgical treatment for EMM (pars plana vitrectomy with EMM removal and internal limiting membrane peeling, 6 months|Importance of the pre-operative integrity or not of the inner segment (IS) and outer segment (OS) photoreceptoral junction in the change of the post-operative macular morphology after 1, 3 and 6 months of follow-up after surgical treatment for EMM, SD-OCT (assessing macular morphology) was assessed at baseline (pre-operative) and after 1, 3 and 6 months of follow-up after surgical treatment for EMM (pars plana vitrectomy with EMM removal and internal limiting membrane peeling, 6 months|Importance of the pre-operative integrity or not of the inner segment (IS) and outer segment (OS) photoreceptoral junction in the change of the post-operative macular function after 1, 3 and 6 months of follow-up after surgical treatment for EMM, mfERG (assessing macular function) was assessed at baseline (pre-operative) and after 1, 3 and 6 months of follow-up after surgical treatment for EMM (pars plana vitrectomy with EMM removal and internal limiting membrane peeling, 6 months",IRCCS Policlinico S. Matteo,18,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-03-25
NCT03661593,Aniseikonia in Epiretinal Membrane Patients,https://clinicaltrials.gov/study/NCT03661593,UNKNOWN,Epiretinal Membrane,OTHER: Cataract guideline,"Aniseikonia, Measure amount of aniseikonia by measuring aniseikonia with both computer program aniseikonia inspector and the New Aniseikonia test, 1 year","Glostrup University Hospital, Copenhagen",25,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2017-11-01
NCT01901406,Change of Retinally-Induced Aniseikonia in Patients With Epiretinal Membrane After Vitrectomy,https://clinicaltrials.gov/study/NCT01901406,COMPLETED,Epiretinal Membranectomy,,"Changes of Stereopsis tested by TNO test (arc of second), Stereopsis is normal binocular vision. Its presence or absence is an important indicator of the state of binocularity. The TNO test is graded to provide retinal disparities ranging from 15 to 480 second of arc., from Initial screening day before surgey to postoperative 6 months|Titmus test (arc of second), from Initial screening day before surgey to postoperative 6 months",Yonsei University,24,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-07
NCT03045367,Mid-term Evaluation of Metamorphopsia in Epiretinal Membrane Surgery,https://clinicaltrials.gov/study/NCT03045367,COMPLETED,Epiretinal Membrane|Cataract Senile,"PROCEDURE: Phacoemulsification, intraocular lens implant, vitrectomy.","Metamorphopsia, Change in spatial degree of distortion perception, Change in metamorphopsia from baseline at 180 days.|Visual Acuity, Change in LogMAR visual acuity, Change in visual acuity from baseline at 180 days|Area of central scotoma, Change in area, in square pixel, of central scotoma, Change in area of central scotoma from baseline at 180 days|Central fovea thickness, Change in fovea thickness in µm at the Sd OCT, Change in fovea thickness from baseline at 180 days",Clinica Oculistica dell'Università di Torino,30,OBSERVATIONAL,Observational Model: |Time Perspective: p,2015-06-22
NCT01985490,Change in Foveal Avascular Zone After Removal of Epiretinal Membrane and Internal Limiting Membrane,https://clinicaltrials.gov/study/NCT01985490,UNKNOWN,Epiretinal Membrane,PROCEDURE: epiretinal membrane and internal limiting membrane removal,"area of foveal avascular zone, the change in area of foveal avascular zone at postoperative 6 months, postoperative 6 months",Samsung Medical Center,32,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-11
NCT01162356,Prospective Retinal and Optic Nerve Vitrectomy Evaluation (PROVE) Study,https://clinicaltrials.gov/study/NCT01162356,COMPLETED,Glaucoma|Macular Pucker|Macula Hole|Vitreomacular Traction|Vitreous Opacities or Hemorrhage,,"Nerve fiber layer and macular changes after vitrectomy, To determine the incidence of nerve fiber layer (NFL) and macular changes after pars plana vitrectomy, characterize their extent and quality, and determine pre-disposing risk factors., 3 month and annually for 5 years after surgery",Vanderbilt University,45,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-07
NCT04859556,"Performance, Safety and Efficiency Comparison Between 10,000 and 5,000 Cuts Per Minute Vitrectomy Using a 25G Cutter - A Prospective Randomized Controlled Study",https://clinicaltrials.gov/study/NCT04859556,COMPLETED,Vitreous Hemorrhage|Macula Hole|Epiretinal Membrane|Retinal Detachment,"DEVICE: Alcon 25Gauge, 10,000 cuts per minute Ultravit cutter|DEVICE: Alcon 25Gauge, 5,000 cuts per minute Ultravit cutter","Vitrectomy time, The time needed to remove all vitreous, 1 day",The University of Hong Kong,52,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2018-05-01
NCT03934190,Inner Nuclear Macular Microcyst is a Risk Factor for Macular Cystoid Changes After Phacoemulsification in Eyes With Previous Vitrectomy and Macular Pucker Removal,https://clinicaltrials.gov/study/NCT03934190,COMPLETED,Macular Pucker|Macular Cyst,,"Wilcoxon Signed-Rank test, A statistical comparison of average of different time point, 1 day, 1 week, 1 month, 3 months, 6 months and 1 year",Changhua Christian Hospital,46,OBSERVATIONAL,Observational Model: |Time Perspective: p,2014-10-01
NCT04501367,"Assessing the Efficacy and Safety fo DEXTENZA, Sustained Release Dexamethasone 0.4 mg Insert(s) for the Treatment of Pain, Inflammation, and Cystoid Macular Edema Following 27 Gauge Vitrectomy With Internal Limiting Membrane Peel for the Treatment of Retinal Edema Associated With Macular Pucker.",https://clinicaltrials.gov/study/NCT04501367,RECRUITING,Vitrectomy|Macular Pucker|Retinal Edema,"DRUG: Dexamethasone Intracanalicular Insert, 0.4 mg|DRUG: Dexamethasone Intracanalicular Insert, 0.4 mg|DRUG: Prednisone acetate 1%","Mean change in retina edema, As measured by Optical Coherence Tomography (OCT), assessed on day 30 and day 60",Kovach Eye Institute,60,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-04-27
NCT03597867,PGE2 Levels in Patient Treated With NSAIDs,https://clinicaltrials.gov/study/NCT03597867,COMPLETED,Ocular Inflammation,OTHER: Placebo|DRUG: Dicloftil|DRUG: Nevanac|DRUG: Indom|DRUG: Yellox,"Vitreous NSAIDs and PGE2 levels, 3 days after topical NSAID administration",University of Trieste,104,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2018-04-25
NCT02617147,Choroidal Thickness Vitrectomy,https://clinicaltrials.gov/study/NCT02617147,COMPLETED,Epiretinal Membrane,,"choroidal thickness using 2 different OCT devices, 3 months",Medical University of Vienna,76,OBSERVATIONAL,Observational Model: |Time Perspective: p,2014-06-16
NCT05588037,Combined Vitrectomy and Femtosecond Laser-assisted Cataract Surgery,https://clinicaltrials.gov/study/NCT05588037,RECRUITING,Macular Disease|Rhegmatogenous Retinal Detachment|Epiretinal Membrane|Cataract|Vitreous Hemorrhage|Vitreomacular Traction|Vitreous Cloudy,PROCEDURE: FLACS +PPV+IOL + air|PROCEDURE: FLACS +PPV+IOL + epiretinal membrane peeling + Ozurdex|PROCEDURE: FLACS + PPV+IOL + internal limiting membrane peeling + air|PROCEDURE: FLACS + PPV+IOL,"visual acuity, final best-corrected visual acuity, Change from baseline best-corrected visual acuity at 6 months.","Aier School of Ophthalmology, Central South University",100,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2017-01-01
NCT03350607,""" Sweeper "" and Epiretinal Membrane Surgery",https://clinicaltrials.gov/study/NCT03350607,RECRUITING,Epiretinal Membrane,OTHER: Non interventional study,"Difference of number and depth of micro scotoma before and after epiretinal membrane (ERM) surgery with sweeper, microperimetry at baseline, then 1 month after surgery (M1), then 3 months after (M3)",Nantes University Hospital,20,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-01-24
NCT00892619,Comparison of Two Techniques for Epiretinal or Internal Limiting Membrane Peel,https://clinicaltrials.gov/study/NCT00892619,UNKNOWN,Epiretinal Membrane|Vitreomacular Traction,PROCEDURE: using ILM forceps alone|PROCEDURE: Breaking and peeling with end-grasping forceps,"Change in visual acuity, three months",Michael E. DeBakey VA Medical Center,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: ",2008-12
NCT04712786,Refractive Changes Following Vitrectomy,https://clinicaltrials.gov/study/NCT04712786,COMPLETED,Retinal Detachment|Refractive Errors|Vitreous Hemorrhage|Epiretinal Membrane,OTHER: pars plana vitrectomy,"The rate of spherical and cylindrical refractive changes, Changes in spherical and cylindrical refractive error 12 months after pars plana vitrectomy, 12 months",Bursa Retina Eye Hospital,47,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-12-01
NCT05860985,Zeiss RESIGHT Disposable Lenses Evaluation Study,https://clinicaltrials.gov/study/NCT05860985,RECRUITING,Retinal Detachment|Macular Pucker|Macular Holes|Vitreomacular Traction,DEVICE: ZEISS disposable,"Ultra Wide Field lens View Angle evaluation, Ultra Wide Field lens View Angle: scale from 1 (far more indentation) to 5 (far less indentation), during surgery|Ultra Wide Field lens Condensation evaluation, Ultra Wide Field lens Condensation: scale from 1 (far more condensation) to 5 (far less condensation), during surgery|Wide Angle lens Condensation evaluation, Wide Angle lens Condensation: scale from 1 (far more condensation ) to 5 (far less condensation), during surgery|Illumination appearance evaluation, Illumination intensity required during the surgery : scale from 1 (significantly higher) to 5 (significantly lower), during surgery|Color appearance evaluation, color appearance during the surgery : scale from 1 (far less natural colors) to 5 (far better natural colors ), during surgery",Universitaire Ziekenhuizen KU Leuven,120,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-04-11
NCT00737022,Macular Appearance After Diabetic Vitrectomy,https://clinicaltrials.gov/study/NCT00737022,COMPLETED,Proliferative Diabetic Retinopathy|Vitrectomy,,"Macular appearance, Six months",National Taiwan University Hospital,108,OBSERVATIONAL,Observational Model: |Time Perspective: p,2005-05
NCT03452748,Fourier Transformed Infrared Spectroscopy in Macular Surgery,https://clinicaltrials.gov/study/NCT03452748,COMPLETED,Epiretinal Membrane|Macular Hole,DEVICE: FTIR spectroscopy,"collagen, occurrence of different types of collagen fibres in the excised membranes, 3 months",Vienna Institute for Research in Ocular Surgery,50,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2017-01-01
NCT01846351,Intravitreal Anti-VEGF in Exudative AMD With Epiretinal Membranes,https://clinicaltrials.gov/study/NCT01846351,COMPLETED,Epiretinal Membrane|Age Related Macular Degeneration,,"Best corrected visual acuity, Evaluate the best visual acuity during the follow up., 12 months|Central macular thickness, Evaluation of the retinal thickness changes with anti-VEGF treatment, 12 months|Fluorescein angiogram, Evaluation of changes in lesion size during follow-up., 12 months",New England Retina Associates,16,OBSERVATIONAL,Observational Model: |Time Perspective: p,2006-07
NCT02084212,Study of Retinal Sensitivity by Microperimetry During Epiretinal Membrane Surgery,https://clinicaltrials.gov/study/NCT02084212,TERMINATED,Epiretinal Membrane Surgery,OTHER: Microperimetry,"Change of visual acuity in ETDRS (Early Treatment Diabetic Retinopathy Study) scale, Up to 6 months after the operation.|Anomalies observed in the outer layers of retina, Up to 6 months after the operation|Evaluation of retinal sensitivity by microperimetry, Up to 6 months after the operation",Centre Hospitalier Universitaire Dijon,6,INTERVENTIONAL,"Allocation: |Intervention Model: |Masking: |Primary Purpose: ",2013-03-06
NCT04791631,'Distortion as a Predictor of ERM Surgery Outcome',https://clinicaltrials.gov/study/NCT04791631,UNKNOWN,Epiretinal Membrane|Distortion|Quality of Life,PROCEDURE: Epiretinal membrane surgery,"VFQ-25 score at final visit (52 weeks after ERM surgery), Measure of vision-related quality of life using NEI VFQ-25 quality of life questionnaire, 1 year after surgery for epiretinal membrane, 1 year",NHS Greater Glasgow and Clyde,60,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-04-01
NCT05494242,Single Superior ILM/ERM Flap for the FTMH.,https://clinicaltrials.gov/study/NCT05494242,COMPLETED,Ophthalmopathy,OTHER: Surgical intervention,"Anatomical outcome, OCT, The fourth weeks post-operatively",Omer Othman Abdullah,5,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2022-09-01
NCT02011165,An Objective Evaluation of Postoperative Positioning in Macular Hole Surgery,https://clinicaltrials.gov/study/NCT02011165,COMPLETED,Macular Hole,PROCEDURE: Positioning measuring device,"Time in supine sleeping position, Two days",Helse Stavanger HF,43,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-10
NCT04445142,Fovea ERM After Fovea-sparing ILM Peeling,https://clinicaltrials.gov/study/NCT04445142,COMPLETED,Epiretinal Membrane|Internal Limiting Membrane Wrinkling,PROCEDURE: fovea-sparing internal limiting membrane peeling,"Visual acuity, Snellen visual acuity change, 6 months|Optical coherence tomography finding, fovea change on optical coherence tomography, 6 months",Changhua Christian Hospital,3,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-09-01
NCT01946451,Gene Expression in Patients With Epiretinal Membranes,https://clinicaltrials.gov/study/NCT01946451,UNKNOWN,Proliferative Diabetic Retinopathy,,"Gene expression in patients with idiopathic and secondary epiretinal membranes in proliferative diabetic retinopathy., The period between the diagnosis of the ERMs and the actual surgery for the condition was between 2 and 43 months.",Medical University of Silesia,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-06
NCT05171621,Measuring Subjective Quality of Vision and Metamorphopsia Before and After Epiretinal Membrane and Macular Hole Surgery,https://clinicaltrials.gov/study/NCT05171621,COMPLETED,Ophthalmologic Complication|Epiretinal Membrane|Metamorphopsia|Macular Holes,,"Compare the responses of the McAllinden and Metamorphopsia Questionnaire, analysing changes to responses in the 2 questionnaires pre and post surgery, pre surgery and 2 - 3 months post surgery",Hayley Westwood,50,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-10-16
NCT01532765,Randomized Trial Comparing Epiretinal Membrane Surgery With and Without Internal Limiting Membrane Removal,https://clinicaltrials.gov/study/NCT01532765,TERMINATED,Epiretinal Membrane,PROCEDURE: Pars plana vitrectomy and epiretinal membrane peel|PROCEDURE: ILM peel assisted by ICG|PROCEDURE: CE-IOL,"Change from baseline in macular thickness on optical coherence tomography at 6 months post-surgery (intervention), Comparing change at 6 months following surgery and baseline|Change from baseline in visual acuity at 6 months post-surgery (intervention), Comparing change of visual acuity at 6 months following surgery and baseline",Sunnybrook Health Sciences Centre,13,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2011-09
NCT01613716,Ozurdex for Diabetic Macular Edema Treated With Pars Plana vitrEctomy and Membrane RemovAl (OPERA Study),https://clinicaltrials.gov/study/NCT01613716,COMPLETED,Diabetic Macular Edema|Epiretinal Membrane,DRUG: Ozurdex,"Central Retinal Thickness, At 3 months, central retinal thickness as measured by optical coherence tomography will be measured, 3 months|Visual Acuity, ETDRS visual acuity will be measured at 3 months. Visual function of the study eye was assessed using the ETDRS protocol, which is a widely accepted international standard. A higher letter score represents better functioning., 3 months",The Cleveland Clinic,30,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2012-07
NCT03750149,Reading Analysis in Ophthalmologic Patients,https://clinicaltrials.gov/study/NCT03750149,UNKNOWN,Diabetic Maculopathy|Age Related Macular Degeneration|Glaucoma|Epiretinal Membrane,DEVICE: EyeTracker,"Reading speed, Reading speed (words per minute) will be analysed using the EyeTracker device. The patient has to read 4 texts with different contrast levels. The faster the patient can read a text, the better the results., 12 months","Prim. Prof. Dr. Oliver Findl, MBA",100,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2018-01-01
NCT04459949,Comparative Study of Sharkskin Versus Grieshaber Forceps During ILM Peeling,https://clinicaltrials.gov/study/NCT04459949,UNKNOWN,Epiretinal Membrane|Macular Holes,DEVICE: Sharkskin|DEVICE: Grieshaber,"Surgical time, During surgery",Wills Eye,100,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2020-07-06
