NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT01217762,Safety & Tolerability of the IRay System in Subjects With Exudative Choroidal Neovascularization (CNV) Secondary to Age-Related Macular Degeneration (AMD),https://clinicaltrials.gov/study/NCT01217762,UNKNOWN,Age-Related Macular Degeneration|Wet Age-Related Macular Degeneration|Macular Degeneration|Eye Diseases|Retinal Diseases,DEVICE: IRay,"Incidence of ocular radiation-related adverse events, Month 12","Oraya Therapeutics, Inc.",62,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2008-07
NCT00554788,"Combination Chemotherapy, Autologous Stem Cell Transplant, and/or Radiation Therapy in Treating Young Patients With Extraocular Retinoblastoma",https://clinicaltrials.gov/study/NCT00554788,ACTIVE_NOT_RECRUITING,Extraocular Retinoblastoma,PROCEDURE: Autologous Bone Marrow Transplantation|PROCEDURE: Autologous Hematopoietic Stem Cell Transplantation|DRUG: Carboplatin|DRUG: Cisplatin|DRUG: Cyclophosphamide|DRUG: Etoposide|BIOLOGICAL: Filgrastim|PROCEDURE: In Vitro-Treated Peripheral Blood Stem Cell Transplantation|RADIATION: Radiation Therapy|DRUG: Thiotepa|DRUG: Vincristine Sulfate,"Event-free Survival (EFS), The probability of surviving patients who did not experience events at 1 year following enrollment. An event is defined as relapse, second malignancy, or death from any cause., At 1 year",Children's Oncology Group,60,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2008-02-04
NCT00454389,A Study of Strontium90 Beta Radiation With Lucentis to Treat Age-Related Macular Degeneration,https://clinicaltrials.gov/study/NCT00454389,UNKNOWN,Macular Degeneration,DEVICE: Epi-Rad90™ Ophthalmic System|DRUG: ranibizumab,"Percentage of subjects losing fewer than 15 letters of best corrected visual acuity score at 12 months compared to baseline. Gain of 15 more letters of best correct visual acuity score compared to baseline, 12 months",NeoVista,494,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2007-04
NCT01521819,Iray for Vascularized Pigment Epithelial Detachment (VPED) Secondary to Age Related Macular Degeneration,https://clinicaltrials.gov/study/NCT01521819,UNKNOWN,Retinal Pigment Epithelial Detachment With Vascularization|Age Related Macular Degeneration,RADIATION: Iray|DRUG: Lucentis,"Lesion change as measured with fluorescein angiography., Change in the proportion of the lesion which is active at 12 months., Baseline and 12 months","Oraya Therapeutics, Inc.",12,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2012-08
NCT00432445,Proton Beam Radiation Therapy for Intraocular and Periocular Retinoblastoma,https://clinicaltrials.gov/study/NCT00432445,TERMINATED,Retinoblastoma,RADIATION: Proton Beam Radiation Therapy|PROCEDURE: Ophthalmic EUA,"Rate of Local Control in the Globe at 12 Months, Where proton beam radiation therapy used as an alternative to external photon beam irradiation in children with retinoblastoma as a means of local tumor control and ocular retention, local tumor control measured for participants with a globe as tumor regression with ocular retention, and for post enucleation measured as lack of orbital tumor recurrence., 12 months",M.D. Anderson Cancer Center,2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2007-01
NCT00540930,Intravitreal Ranibizumab for the Prevention of Radiation Maculopathy Following Plaque Radiotherapy,https://clinicaltrials.gov/study/NCT00540930,UNKNOWN,Uveal Melanoma|Radiation Retinopathy|Radiation Maculopathy,DRUG: Ranibizumab,"Presence or absence of optical coherence (OCT) evidence of macular edema., 4 months","Shields, Shields and Associates",400,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2007-04
NCT00811200,Treatment Of Radiation Retinopathy Trial,https://clinicaltrials.gov/study/NCT00811200,UNKNOWN,Uveal Melanoma,DRUG: ranibizumab|DRUG: triamcinolone acetonide|OTHER: sham,"To demonstrate a statistically significant superiority of intravitreal ranibizumab (0.5mg) or triamcinolone acetonide (4.0mg) to no treatment, in the mean change from baseline in best corrected visual acuity (BCVA), one year",Leiden University Medical Center,220,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2009-09
NCT04377295,Evaluation of Retinal and Vascular Features in Radiation Maculopathy After Intravitreal Injections of Ranibizumab,https://clinicaltrials.gov/study/NCT04377295,COMPLETED,Radiation Maculopathy,DRUG: Ranibizumab 0.5Mg/0.05Ml Oph Inj,"Study of retinal and vascular features in pazients affected by radiation maculopathy after intravitreal injections of Ranibizumab, The effectiveness of Ranibizumab injections for treating radiation maculopathy using optical coherence tomography (OCT).

The parameter analyzed by OCT was: Central Macular Thickness (micron)., one year|Study of retinal and vascular features in patients affected by radiation maculopathy after intravitreal injections of Ranibizumab, The effectiveness of Ranibizumab injections for treating radiation maculopathy using optical coherence tomography angiography (OCTA).

The parameter analyzed by OCTA was: retinal vessel density (%), one year",Federico II University,40,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-10-30
NCT02243878,Stereotactic Radiotherapy for Wet AMD (STAR),https://clinicaltrials.gov/study/NCT02243878,ACTIVE_NOT_RECRUITING,Neovascular (Wet) Age-related Macular Degeneration (AMD),RADIATION: Stereotactic radiotherapy (16 Gray or Sham)|DRUG: 0.5 mg ranibizumab,"Number of as required (prn) ranibizumab injections during the first 24 months, Monitor the number of eye injections, 24 months",King's College Hospital NHS Trust,411,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2014-12
NCT00517010,Pilot Study of Lucentis Combined With Proton Beam Irradiation in Treating Wet Age-related Macular Degeneration,https://clinicaltrials.gov/study/NCT00517010,COMPLETED,Age-related Macular Degeneration,DRUG: Proton beam irradiation and ranibizumab,"Incidence and Severity of Ocular Adverse Events, Any ocular adverse event identified by eye examination during the study follow-up will be recorded and determined for possible or probable relation to study treatment., 24 months","University of California, Davis",6,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2007-05
NCT02329002,SPT Screening in Irradiated Hereditary Retinoblastoma Survivors,https://clinicaltrials.gov/study/NCT02329002,UNKNOWN,Retinoblastoma,DEVICE: Magnetic resonance imaging,"Diagnostic accuracy of MRI for the detection of second primary tumors in hereditary irradiated retinoblastoma, The primary objective of the study is to evaluate the benefit of early detection of craniofacial second primary tumors with MRI in previously irradiated hereditary retinoblastoma survivors. The main outcome measure for assessing the benefit of screening will be the diagnostic accuracy of MRI for detecting craniofacial SPTs: sensitivity (true-positive and false-negative results) and specificity (true-negative and false-positive results)., 4 years","Amsterdam UMC, location VUmc",400,OBSERVATIONAL,Observational Model: |Time Perspective: p,2014-10
NCT03026998,MRI Screening of Second Primary Cancer Occurring Within Radiation Fields After Treatment by External Beam Radiation Therapy for Hereditary Retinoblastoma (DepiSCARRH),https://clinicaltrials.gov/study/NCT03026998,RECRUITING,Hereditary Retinoblastoma,PROCEDURE: MRI,"Assess the benefit of MR screening for asymptomatic head & neck (or CNS) second primary cancers occurring in hereditary retinoblastoma patients previously treated by external beam radiation therapy (EBRT)., Rate of patients with R0-resection quality (versus R1 or R2) among patients with second primary cancer depicted by MRI, with comparison to historical series, Up to 10 years",Institut Curie,167,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2017-03-19
NCT01579760,Intravitreal Aflibercept Injection for Radiation Retinopathy,https://clinicaltrials.gov/study/NCT01579760,COMPLETED,Radiation Retinopathy|Macular Edema,DRUG: Aflibercept every 2 months|DRUG: Aflibercept monthly,"Incidence of adverse events, 12 months|Severity of adverse events, 12 months",Washington University School of Medicine,9,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2012-11
NCT01415453,Evoked Retinal Response,https://clinicaltrials.gov/study/NCT01415453,TERMINATED,Retinitis Pigmentosa,PROCEDURE: Ultrasound Stimulus,"Phosphene Perception in Response to Ultrasound Pulse., The investigators will test the hypothesis that compression of retinal nerves by ultrasound force will cause perception of light (phosphenes) in blind subjects lacking functioning photoreceptors (retinitis pigmentosa). With each of two 5 msec ARFI exposures, if the subject either perceived the spark of light (phosphene), then it was documented as a positive response; if they did not, it was marked as a negative response., Subjects will undergo a single examination of approximately 15 minute duration during which they will report perception of phosphenes during ultrasound exposure.",Columbia University,1,INTERVENTIONAL,"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: ",2011-07
NCT03085784,Intravitreal Aflibercept Injection for Radiation Retinopathy Trial,https://clinicaltrials.gov/study/NCT03085784,UNKNOWN,Radiation Retinopathy,DRUG: Aflibercept,"Safety of intravitreal Aflibercept for the treatment of radiation retinopathy - Assessed by incidence of adverse events., The primary objective of the study is to assess the safety of 2 mg intravitreal Aflibercept injections (IAI) for the treatment of radiation retinopathy including maculopathy and optic neuropathy. Assessed by incidence of adverse events., 52 Weeks","Amy C Schefler, MD",40,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2017-07-05
NCT04120636,Phase I Study of Episcleral Celecoxib for Treatment of Macular Edema and Inflammatory Disorders of the Posterior Pole,https://clinicaltrials.gov/study/NCT04120636,ACTIVE_NOT_RECRUITING,Macula Edema|Radiation Retinopathy|Branch Retinal Vein Occlusion|Epiretinal Membrane|Central Serous Retinopathy With Pit of Optic Disc|Commotio Retinae|Vitritis,DRUG: Episcleral Celecoxib,"The primary outcome measure of the study is ocular safety assessment as measured by comprehensive ophthalmic exam., The primary outcome measure of the study is ocular safety assessment as measured by comprehensive ophthalmic exam., 12 Months","Targeted Therapy Technologies, LLC",3,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-03-05
NCT01516294,IRay to Treat Polypoidal Choroidal Vasculopathy (PCV) Secondary to Age-Related Macular Degeneration (AMD,https://clinicaltrials.gov/study/NCT01516294,UNKNOWN,Polypoidal Chorodial Vasculopathy|Age Related Macular Degeneration,RADIATION: Iray,"Lesion change as measured with fluorescein angiography., Change in the proportion of the lesion which is active at 12 months., Baseline and 12 months","Oraya Therapeutics, Inc.",12,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2012-01
NCT01016873,INTREPID - IRay Plus Anti-VEGF Treatment For Patients With Wet AMD,https://clinicaltrials.gov/study/NCT01016873,COMPLETED,AMD|Wet AMD|Age-Related Macular Degeneration|Wet Age-Related Macular Degeneration|Macular Degeneration|Eye Diseases|Retinal Diseases,DEVICE: IRay,"Number of Lucentis® Injections Up To And Including Week 52, During the first 52 weeks.","Oraya Therapeutics, Inc.",230,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2009-11
NCT00623077,MT2004-30: Tomotherapy for Solid Tumors,https://clinicaltrials.gov/study/NCT00623077,TERMINATED,Brain and Central Nervous System Tumors|Kidney Cancer|Liver Cancer|Retinoblastoma|Sarcoma,BIOLOGICAL: filgrastim|DRUG: busulfan|DRUG: etoposide|DRUG: ifosfamide|DRUG: melphalan|DRUG: thiotepa|PROCEDURE: stem cell transplantation|RADIATION: tomotherapy|RADIATION: total marrow irradiation|DRUG: Mesna|RADIATION: Whole lung radiation,"Maximum tolerated dose of tomotherapy up to 12 Gy, is a state-of-the- art means of delivering highly conformal radiation to tumors of targeted volume with high therapeutic gain. Tomotherapy offers unique advantages over total body irridiation and is expected to improve clinical outcome. The MTD is defined as the highest dose studied for which the incidence of dose limiting toxicity is less than 33%., Day 42","Masonic Cancer Center, University of Minnesota",23,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2005-08
NCT03238157,Steroids for Early Treatment of Radiation Retinopathy,https://clinicaltrials.gov/study/NCT03238157,WITHDRAWN,Radiation Retinopathy,DRUG: Fluocinolone Acetonide (FA) implant,"Central subfield retinal thickness by OCT scan, Anatomic outcome, 24 months",The Cleveland Clinic,0,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-02-01
NCT00750399,Effect of Intravitreal Ranibizumab on Radiation Retinopathy Following Plaque Brachytherapy for Choroidal Melanoma,https://clinicaltrials.gov/study/NCT00750399,COMPLETED,Radiation Retinopathy|Choroidal Melanoma,DRUG: Ranibizumab|DRUG: ranibizumab,"To test the safety and tolerability of intravitreal ranibizumab in the treatment of radiation retinopathy associated with plaque brachytherapy for choroidal melanoma, 12 months",The New York Eye Cancer Center,10,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2008-10
NCT04120311,Episcleral Dexamethasone for Treatment of Macular Edema and Inflammatory Disorders of the Posterior Pole,https://clinicaltrials.gov/study/NCT04120311,ACTIVE_NOT_RECRUITING,Macular Edema|Radiation Retinopathy|Branch Retinal Vein Occlusion|Epiretinal Membrane|Central Serous Retinopathy With Pit of Optic Disc|Commotio Retinae|Vitritis,DRUG: Episcleral Dexamethasone,"A primary outcome measure of the study is ocular safety assessment as measured by comprehensive ophthalmic exam., Assessment of ocular safety as measured by comprehensive ophthalmic exam., 12 Months","Targeted Therapy Technologies, LLC",2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-09-01
