NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT03594591,Changes in the Retinal and Carotid Microcirculation After Restoring Normoglycemia in Patients With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT03594591,UNKNOWN,Type 2 Diabetes Mellitus|Microangiopathy|Diabetic Retinopathy|Arteriosclerosis|Carotid Atherosclerosis,DRUG: Antidiabetic treatment by usual care,"Changes in retinal microcirculation (perifoveal vessel density), Changes in perifoveal vessel density, OCTA images will be processed to obtain vascular density measurements in this area (mm-1), 0, 1, 3 and 6 months|Changes in arterial wall microcirculation (vasa-vasorum density), Changes vasa-vasorum (VV) density, VV signal as the ratio of the contrast agent signal of the VV and that of the lumen of the artery, 0, 3 and 6 months",Hospital Clinic of Barcelona,20,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-01-02
NCT01909791,Treatment for CI-DME in Eyes With Very Good VA Study,https://clinicaltrials.gov/study/NCT01909791,COMPLETED,Diabetic Macular Edema,PROCEDURE: Prompt Laser|DRUG: Prompt aflibercept|PROCEDURE: Deferred laser|DRUG: Deferred aflibercept,"Number of Eyes With at Least 5-letter Decrease in E-ETDRS Visual Acuity Letter Score From Baseline, Best-corrected visual acuity following protocol-defined refraction. Visual Acuity was measured with the Electronic Early Treatment Diabetic Retinopathy Study (E-ETDRS) visual acuity test on a scale from 100 letters (Snellen equivalent of 20/12) to 0 letters (Snellen equivalent of 20/800)., 2 years",Jaeb Center for Health Research,702,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2013-10
NCT03551808,Prophylactic Effect of Ketorolac Tromethamine on the Cystoid Macular Edema After Phacoemulsification in Diabetic Patients,https://clinicaltrials.gov/study/NCT03551808,UNKNOWN,Cystoid Macular Edema After Phacoemulsification,DRUG: using of Ketorolac Tromethamine Eye Drop,"Best Corrected visual acuity, Snellen visual acuity chart, 24 weeks after the surgery",Shahid Beheshti University of Medical Sciences,102,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: PREVENTION",2017-01-01
NCT02712008,Anti-vasculaR Endothelial Growth Factor plUs Anti-angiopoietin 2 in Fixed comBination therapY: Evaluation for the Treatment of Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT02712008,COMPLETED,Diabetic Macular Edema,DRUG: REGN910-3|DRUG: Intravitreal Aflibercept Injection (IAI),"Change From Baseline in Best Corrected Visual Acuity (BCVA) Measured by Early Treatment Diabetic Retinopathy Study (ETDRS) Letter Score at Week 12, Visual function of the study eye was assessed using the Early Treatment Diabetic Retinopathy Study (ETDRS) protocol at 4 meters. Best Corrected Visual Acuity (BCVA) score was measured using an eye chart and was reported as the number of letters read correctly at a testing distance of 4 meters using the ETDRS Scale (ranging from 0 to 100 letters) in the study eye. The lower the number of letters read correctly on the eye chart, the worse the vision (or visual acuity). An increase in the number of letters read correctly means that vision has improved. Change from baseline calculated by subtracting baseline value from observed post-baseline value at Week 12., Baseline, Week 12|Change From Baseline in Best Corrected Visual Acuity (BCVA) Measured by Early Treatment Diabetic Retinopathy Study (ETDRS) Letter Score at Week 36, Visual function of the study eye was assessed using the Early Treatment Diabetic Retinopathy Study (ETDRS) protocol at 4 meters. BCVA score was measured using an eye chart and was reported as the number of letters read correctly at a testing distance of 4 meters using the ETDRS Scale (ranging from 0 to 100 letters) in the study eye. The lower the number of letters read correctly on the eye chart, the worse the vision (or visual acuity). An increase in the number of letters read correctly means that vision has improved. Change from baseline calculated by subtracting baseline value from observed post-baseline value at Week 36., Baseline, Week 36",Regeneron Pharmaceuticals,302,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2016-03-02
NCT03571139,Detecting the Influence of Cataract Surgery on the Development of Diabetic Retinopathy in Patients With Diabetes Mellitus Type 2 With and Without Diabetic Retinopathy Using OCT Angiography,https://clinicaltrials.gov/study/NCT03571139,UNKNOWN,Diabetic Retinopathy,DEVICE: Phacoemulsification,"Detecting changes in the retinal vascular plexuses and choriocapillaris after cataract surgery in type 2 diabetes mellitus patients with and without diabetic retinopathy using OCT angiography., Changes in the retinal vascular plexus, superficial and deep vessel density, foveal avascular zone area, circularity and any developing microaneurysms and areas of retinal ischemia will be measured to see the influence of cataract surgery on diabetic retinopathy., 1 month",Cairo University,50,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-06-01
NCT03056079,Cytokine and Visual Outcome Variations in Eyes Receiving Aflibercept,https://clinicaltrials.gov/study/NCT03056079,RECRUITING,Age Related Macular Degeneration|Diabetic Macular Edema|Retinal Vein Occlusion|Macular Edema,DRUG: Intravitreal aflibercept,"Association between cytokine levels and optimal treatment interval, Optimal interval between injections based on aqueous cytokine levels, 18 months",Unity Health Toronto,168,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2017-02-28
NCT03112005,Assessment of EyeArt as an Automated Diabetic Retinopathy Screening Tool,https://clinicaltrials.gov/study/NCT03112005,COMPLETED,Diabetic Retinopathy|Diabetic Eye Problems|Diabetic Macular Edema,PROCEDURE: Color fundus photography|DRUG: Mydriatic Agent,"Number of subject eyes whose EyeArt results match the reading center grading for identifying referable diabetic eye disease (moderate NPDR or higher on the ICDR scale or surrogate markers for CSME)., The performance of EyeArt will be evaluated using sensitivity and specificity measures., 1 visit (1 day)|Number of subject eyes whose EyeArt results match the reading center grading for identifying vision threatening diabetic eye disease (severe NPDR or PDR or surrogate markers for CSME)., The performance of EyeArt will be evaluated using sensitivity and specificity measures., 1 visit (1 day)","Eyenuk, Inc.",942,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-04-17
NCT05989126,Study to Evaluate an 8 mg Aflibercept (EYLEA®) Prefilled Syringe (PFS),https://clinicaltrials.gov/study/NCT05989126,NOT_YET_RECRUITING,Diabetic Macular Edema (DME)|Neovascular Age-Related Macular Degeneration (nAMD),DRUG: aflibercept 8 mg PFS,"Number of 8 mg aflibercept injections successfully administered utilizing the PFS, Participants received a single dose of study drug, administered in the selected study eye with the PFS by a retina specialist. Physician assessed successful aflibercept preparation and administration with the PFS., At Day 1",Regeneron Pharmaceuticals,35,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-01-09
NCT03246152,Evaluation of the Effect of Intravitreal Injections of Anti-VEGF on Macular Perfusion in Diabetic Patients Using OCTA,https://clinicaltrials.gov/study/NCT03246152,COMPLETED,Diabetic Macular Edema|Ischemic Maculopathy,DRUG: Bevacizumab,"FAZ Area Change, Effect of repeated intravitreal Anti-VEGF injections on Foveal Avascular Zone (FAZ) area measured using the freehand tool of ImageJ, At baseline and after 3-6 consecutive monthly injections.|Macular Capillary Density Change at Full Retinal Thickness, Effect of repeated intravitreal Anti-VEGF injections on macular capillary density using the change in the skeletonized vascular density and fractal dimension measured by ImageJ, At baseline and after 3-6 consecutive monthly injections.",Cairo University,31,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2017-10-23
NCT04468152,Advanced Glycation End Products Are Associated With Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT04468152,COMPLETED,"Diabetic Macular Edema|Diabetes Mellitus, Type 2",BEHAVIORAL: Dietary habits and intake,"We hypothesize that the AGEs levels of the DME group would found be higher than in the control group., The serum samples collected during the research were delivered to the laboratory while preserving the cold chain. The enzyme-labelled immune ""Enzyme-Linked Immunosorbent Assay (ELISA)"" test was performed with biologists of the company using a Biotek 800TS device. While analyzing the samples, Human CML Elisa Kit 96 tests for serum AGE is used. Carboxymethyl lysine (CML) was considered as the AGE parameter, being the most easily detected and the most abundant type of AGE in humans. The minimum detectable dose of CML in humans is typically less than 15.6 pg/ml., 3 months|We hypothesize that the dietary intake of AGEs wolud be higher in the DME group., The dietary intake of participants was assessed using a validated quantitative food frequency questionnaire (QFFQ). The total food intake was then converted to total nutrient intake based on the food's nutrient profile. Standardized food recipes for Turkey and the Nutrition Information System (BEBIS) program, which is a food composition database for nutrient estimation, were used to determine the average daily energy and nutrient intake for each participant. These values were subsequently compared with the recommended daily allowance values to determine the status of meeting energy and nutrient requirements. After that, the percentages meeting the requirements were calculated. Meanwhile, to assess dietary AGEs from the QFFQ, each food's contribution to dAGEs intake was calculated based on the Advance Glycation End Products in Foods Table published by the Uribarri et al., 1 month|We hypothesize that neck circumference correlated significantly with DME., The neck circumference of the participants will be measured by the researcher Sedat Arslan with a calibrated tape measure on a centimeter scale., 1 month",Hacettepe University,90,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SCREENING,2018-07-07
NCT04795726,"A Study That Uses Data From Routine Eye Examinations of Patients Participating in Studies FIDELIO-DKD and FIGARO-DKD to Explore Whether Finerenone Can Delay the Progression of a Diabetes Complication That Affects the Eyes (Diabetic Retinopathy, DR)",https://clinicaltrials.gov/study/NCT04795726,COMPLETED,Diabetic Retinopathy,DRUG: Finerenone (BAY94-8862)|DRUG: Placebo,"Proportion of participants with progression of non-proliferative diabetic retinopathy (NPDR), Progression of non-proliferative diabetic retinopathy (NPDR) defined by the occurrence of vision-threatening events i.e. proliferative diabetic retinopathy (PDR), diabetic macular edema (DME), anterior segment neovascularization (ASN) until the end of Year 2 after start of treatment, After start of treatment until end of Year 2",Bayer,70,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2021-03-10
NCT03790852,"Exploratory Study to Investigate the Bioactivity, Ocular and Systemic Safety, Tolerability, and Pharmacokinetics Following Single and Multiple Intravitreal Administrations of KSI-301 in Subjects With wAMD, DME and RVO",https://clinicaltrials.gov/study/NCT03790852,TERMINATED,Wet Age-related Macular Degeneration|Retinal Vein Occlusion|Diabetic Macular Edema,DRUG: KSI-301,"Incidence of ocular (study eye) and systemic adverse events, Week 72",Kodiak Sciences Inc,121,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-12-26
NCT05417152,Single In-Clinic Encounter With the Notal Vision Home OCT by DME Patients,https://clinicaltrials.gov/study/NCT05417152,COMPLETED,Diabetic Retinopathy,,"NVHO Total Retinal Fluid (TRF), volume (nl) measured by NOA (automatic OCT analyzer), 5 minutes|NVHO Intra-Retinal Fluid (IRF), volume (nl) measured by NOA (automatic OCT analyzer), 5 minutes|NVHO Sub-Retinal Fluid (SRF), volume (nl) measured by NOA (automatic OCT analyzer), 5 minutes|Zeiss Cirrus OCT Total Retinal Fluid (TRF), volume (nl) measured by a human reader, 10 minutes|Zeiss Cirrus OCT Intra-Retinal Fluid (IRF), volume (nl) measured by a human reader, 10 minutes|Zeiss Cirrus OCT Sub-Retinal Fluid (SRF), volume (nl) measured by a human reader, 10 minutes|Scanning session completion status, complete/incomplete, 5 minutes",Notal Vision Inc.,18,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-06-29
NCT00123279,Intravitreal Microplasmin in Patients Undergoing Surgical Vitrectomy,https://clinicaltrials.gov/study/NCT00123279,COMPLETED,Vitreomacular Traction Maculopathy|Eye Diseases,DRUG: Microplasmin,"Grade of Posterior Vitreous Detachment (PVD) preoperatively and release of vitreomacular traction, Baseline, 1,2 and 3hr, 1, 3, 14, 28, 90 and 180 Days",ThromboGenics,60,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2004-12
NCT00647439,Genetics and Markers of Degenerative and Inflammatory Eye Diseases,https://clinicaltrials.gov/study/NCT00647439,COMPLETED,Diabetic Retinopathy|Age-Related Macular Degeneration (AMD)|Uveitis,,,National Eye Institute (NEI),609,OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-03-27
NCT05727891,Evaluation of Tonabersat for DME,https://clinicaltrials.gov/study/NCT05727891,RECRUITING,Diabetic Macular Edema,DRUG: Tonabersat|OTHER: Placebo,"Mean change in central subfield thickness, 6 months",Jaeb Center for Health Research,128,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-05-02
NCT00050479,Laser and Medical Treatment of Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT00050479,COMPLETED,Macular Degeneration,DRUG: Celecoxib (Celebrex),,National Eye Institute (NEI),100,INTERVENTIONAL,Allocation: |Intervention Model: |Masking: |Primary Purpose: TREATMENT,2002-12
NCT02080091,Observational Study to Assess the Effect of Iluvien® in DME Patients Insufficiently Responsive to Available Therapies,https://clinicaltrials.gov/study/NCT02080091,TERMINATED,Diabetic Macular Edema (DME),,"Visual Acuity, Observed and change from baseline visual acuity LogMAR scores will be summarized using descriptive statistics., 24 Months|Number of Patients With Ocular Adverse Events, 24 Months",Alimera Sciences,25,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-12
NCT02359526,A Pilot Study on the Effect and Safety of Iluvien® in Chronic Diabetic Macular Edema Patients,https://clinicaltrials.gov/study/NCT02359526,COMPLETED,Diabetic Macular Edema,DRUG: IlUVIEN,"Changes in best-corrected visual acuity (BCVA) from baseline to Month-12, Baseline to 12 months|Changes in central retinal thickness assessed using spectral domain optical coherence tomography (SD-OCT) from baseline to Month-12, Baseline to 12 months|Occurrence of Adverse events, namely cataract and elevated IOP, 12 months",Association for Innovation and Biomedical Research on Light and Image,12,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-10
NCT03755752,Safety of Trypan Blue on Endothelium of Diabetic Retinopathy Patients,https://clinicaltrials.gov/study/NCT03755752,COMPLETED,Cataract Diabetic,PROCEDURE: Phacoemulsification with and without Trypan Blue capsule staining,"Endothelial cell density, 4 weeks",Assiut University,65,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2018-01-01
NCT00704652,Evaluation of Retinal Changes in Systemic Darbepoetin Alpha Treatment in Patients With Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00704652,TERMINATED,Diabetic Retinopathy,,"Morphologic changes in the retina detected by HD-OCT following darbepoetin alpha therapy compared to control patients, 9 month",Medical University of Vienna,5,OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-05
NCT02633852,Multicenter Study to Evaluate the Efficacy of Treat and Extend Regimen of Aflibercept (EYLEA) as a Second Line Treatment for Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT02633852,COMPLETED,Diabetic Macular Edema (DME),DRUG: Aflibercept,"macular thickness changes, Assess macular thickness changes following second line therapy with aflibercept using treat-and-extend algorithm, At week 52",Hadassah Medical Organization,48,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2016-05-24
NCT03794752,Visual Enhancement Device in Low Vision Patients,https://clinicaltrials.gov/study/NCT03794752,TERMINATED,"Macular Degeneration, Age-Related|Diabetic Retinopathy",DEVICE: Head-Mounted Visual Enhancement Device,"Best Corrected Visual Acuity (BCVA) With the Head-mounted Electronic Visual Enhancement Device, ETDRS chart will be used to assess best corrected visual acuity. The outcome with the participant using head-mounted electronic visual enhancement device.

The single visit, prospective, non-randomized study of low vision individuals diagnosed with Age Related Macular Degeneration or Diabetic macular edema research project is designed to last about 1.5 hours., 5 minutes post intervention|Best Corrected Near Visual Acuity (BCNVA) With the Head-mounted Electronic Visual Enhancement Device, ETDRS chart will be used to assess best corrected visual acuity. The outcome with the participant using head-mounted electronic visual enhancement device.

A single visit, prospective, non-randomized study of low vision individuals diagnosed with Age Related Macular Degeneration or Diabetic macular edema research project is designed to last about 1.5 hours., 10 minutes post intervention|Number of Participants Completing/Not Completing the Reading Assessments With the Head-mounted Electronic Visual Enhancement Device, Reading completion with head-mounted electronic visual enhancement device was measured by reading a standard paragraph from 3-Minute Reading Assessments by Rasinski TV and Padak N, 2005. Scholastic Inc., NY., Day 1 up to 6 minutes post intervention|Number of Participants Able/Unable to Identify Facial Expressions With the Head-mounted Electronic Visual Enhancement Device., Face sheet and video are shown to the subject to identify facial expression and time taken is recorded. Change in response speed to identify facial expressions using the head-mounted electronic visual enhancement device.

A single visit, prospective, non-randomized study of low vision individuals diagnosed with Age Related Macular Degeneration or Diabetic macular edema research project is designed to last about 1.5 hours., Day 1 up to 1 minute post intervention|Response Speed to Visual-motor Skills to Identify Shapes and Objects With the Head-mounted Electronic Visual Enhancement Device, Portable shelf storage is placed at 5-feet distance and time taken to identify shapes and objects is recorded with the head-mounted electronic visual enhancement device.

A single visit, prospective, non-randomized study of low vision individuals diagnosed with Age Related Macular Degeneration or Diabetic macular edema research project is designed to last about 1.5 hours., Initial Baseline and 3 minutes",University of Texas Southwestern Medical Center,8,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2015-02
NCT04240652,"The Diabetic Retinopathy Screening, Prevention and Control Program",https://clinicaltrials.gov/study/NCT04240652,RECRUITING,Diabetic Retinopathy,,"Diabetic retinopathy, diabetic retinopathy, through study completion, up to 20 years|Referable diabetic retinopathy, Referable diabetic retinopathy, through study completion, up to 20 years|Vision threatening diabetic retinopathy, Vision threatening diabetic retinopathy, through study completion, up to 20 years|Diabetic macular edema, Diabetic macular edema, through study completion, up to 20 years",Shanghai Jiao Tong University School of Medicine,500000,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-06-05
NCT04611152,"A Trial to Evaluate the Efficacy, Durability, and Safety of KSI-301 Compared to Aflibercept in Participants With Diabetic Macular Edema (DME)",https://clinicaltrials.gov/study/NCT04611152,TERMINATED,Diabetic Macular Edema,DRUG: KSI-301|DRUG: Aflibercept|OTHER: Sham Procedure,"Changes in BCVA to Assess Non-inferiority of KSI-301 to Aflibercept., Demonstrate that KSI-301 5 mg is non-inferior to aflibercept 2 mg with respect to mean change in best corrected visual acuity (BCVA)., Day 1 to Year 1",Kodiak Sciences Inc,460,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-09-30
NCT05959304,Post Marketing Study to Evaluate the Safety and Effectiveness of Brolucizumab in Patients With Diabetic Macular Edema.,https://clinicaltrials.gov/study/NCT05959304,NOT_YET_RECRUITING,Diabetic Macular Edema,OTHER: brolucizumab,"Incidence and characteristics of treatment-emergent adverse events during the 40 weeks of treatment with Brolucizumab., To evaluate ocular \& non-ocular safety of intravitreal brolucizumab in real-world patients with Diabetic Macular Edema (DME)., 40 weeks",Novartis Pharmaceuticals,66,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-12-27
NCT02297204,The Endurance 1 Trial,https://clinicaltrials.gov/study/NCT02297204,COMPLETED,Diabetic Macular Edema,PROCEDURE: Focal Laser Treatment|DRUG: aflibercept 2.0 mg,"Need for ongoing intravitreal aflibercept injections in the management of DME, To assess the need for ongoing intravitreal aflibercept injections for subjects who were enrolled and completed the 3-year VISTA DME (VGFT-OD-1009) trial and to characterize long-term efficacy and safety of aflibercept intravitreal injections in the management of DME by evaluating mean number of injections in 52 weeks and proportion of subjects receiving 0 (zero) injections in 52 weeks., 12 months",Northern California Retina Vitreous Associates,9,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2014-11
NCT05615805,The Effect of Ocular Rinse Volume on Surface Irritation After Intravitreal Injections,https://clinicaltrials.gov/study/NCT05615805,COMPLETED,Intravitreal Injection|Ocular Rinse|Age-Related Macular Degeneration|Diabetic Macular Edema|Cystoid Macular Edema,OTHER: OSDI questionnaire|OTHER: SPEEDII questionnaire,"Ocular Surface Disease Index, Patient symptoms questionnaire, range 0-28, higher score is associated with worse outcome., 24-72 hours after injection",University of Oklahoma,142,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2021-03-01
NCT05919693,"A 2-part Study Consisting of Multiple Ascending Dose (MAD) Safety Study, and a Dose-finding Masked Study to Assess the Safety and Efficacy of Intravitreal (IVT) EYE103 in Patients With Diabetic Macular Edema (DME) or Neovascular Age-related Macular Degeneration (NVAMD)",https://clinicaltrials.gov/study/NCT05919693,RECRUITING,Neovascular Age-related Macular Degeneration (NVAMD)|Diabetic Macular Edema (DME),DRUG: EYE103,"Adverse Events, Adverse Events, 3 months",EyeBiotech Ltd.,92,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-06-12
