NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT04904679,The Use of Amniotic Membrane or Internal Limiting Membrane for Large or Refractory Macular Holes: A Prospective Study,https://clinicaltrials.gov/study/NCT04904679,ACTIVE_NOT_RECRUITING,Macular Holes,DEVICE: Pars plana Vitrectomy with internal limiting membrane peeling,"The retinal sensibility, measured by the microperimetry, through study completion, an average of 1 year|The fixation stability, measured by the microperimetry, through study completion, an average of 1 year",Hospital Oftalmologico de Sorocaba,23,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-06-26
NCT06200727,Platelet-rich Fibrin(PRF) Membrane in Ophthalmic Diseases,https://clinicaltrials.gov/study/NCT06200727,ACTIVE_NOT_RECRUITING,Platelet-rich Fibrin|Macular Holes|Pterygium|Glaucoma,PROCEDURE: PRF membrane tamponade surgery in macular hole|PROCEDURE: ILM peeling in macular hole|PROCEDURE: PRF membrane grafting in pterygium|PROCEDURE: Autologous conjunctival transplantation in pterygium|PROCEDURE: autologous PRF membrane grafting in trabeculectomy for glaucoma|PROCEDURE: Amniotic membrane in trabeculectomy for glaucoma|PROCEDURE: PRF membrane grafting incorneal ulcer|PROCEDURE: Amniotic membrane in corneal ulcer,"Whether the macular hole is closed in participants with macular hole(Unit: yes/no), Using optical coherence tomography（OCT ）to see if the macular hole is healing to compare the healing rate between the PRF membrane filling group and the ILM peeling group., Pre-operation, and at 1 week, 1 month, 3 months, and 6 months post-operation.|Whether the wound heals completely after pterygium excision in participants with pterygium(Unit: yes/no), Observation of the anterior segment of the eye using a slit lamp to determine whether the wound is healed after pterygium excision and to compare the healing rate between the PRF membrane-covered group and the autologous conjunctival-covered group., Pre-operation, and at 1 week, 1 month, 3 months, and 6 months post-operation.|IOP in participants undergoing trabeculectomy for glaucoma(Unit: mmHg), Measurement of IOP using an IOP meter to compare the effect of IOP reduction in glaucoma treatment in the PRF membrane group and the amniotic membrane group., Pre-operation, and at 1 week, 1 month, 3 months, and 6 months post-operation.|Whether the corneal ulcer is healing in participants with corneal ulcer(Unit: yes/no), The investigators use a slit lamp to examine the anterior segment of the eye to assess the corneal wound healing rate. The PRF membrane-covered group is compared to the control group., Pre-operation, and at 1 week, 1 month, 3 months, and 6 months post-operation.",Lei Du,170,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-01-01
NCT02905409,Study of Surgery in Patients With Idiopathic Macular Hole,https://clinicaltrials.gov/study/NCT02905409,UNKNOWN,Idiopathic Macular Hole|Surgery,PROCEDURE: ILM peeling surgery,"Anatomical closure grades in OCT, The anatomical outcomes were defined as good closure and poor closure., 6 months|Change of anatomical closure grades in OCT, The anatomical outcomes were defined as good closure and poor closure., 1 month, 3 months, 6 months, 1 year",Peking University People's Hospital,228,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2016-08-31
NCT00757471,Brillant Blue Versus Indocyanine Green for Macular Hole Surgery,https://clinicaltrials.gov/study/NCT00757471,COMPLETED,Idiopathic Macular Holes,PROCEDURE: Brillant Blue|PROCEDURE: Indocyanine Green,"Macular Hole Closure Rate, 12 Months",The Ludwig Boltzmann Institute of Retinology and Biomicroscopic Laser Surgery,60,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2008-08
NCT05396209,To Evaluate the Therapeutic Efficacy of Hydrated Amniotic Membrane in Promoting Closure of Refractory Macular Holes.,https://clinicaltrials.gov/study/NCT05396209,RECRUITING,Macular Holes,PROCEDURE: Hydrated Amniotic Membrane Plug|PROCEDURE: ILM filling|PROCEDURE: Conventional ILM peeling,"Rate of Anatomic closure, Rate of anatomic macular hole closure in the OCT at month 6, Month 6 post operative|Reconstruction of the foveal layered retinal structure change, Change in the reconstruction of the foveal layered retinal structure by OCT at 1, 3, and 6 months, Month 1, 3, 6 post-operative",Oriental Neurosurgery Evidence-Based-Study Team,80,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-06-01
NCT05897671,Foveal Sparing ILM Peeling With ILM Flap Transposition,https://clinicaltrials.gov/study/NCT05897671,COMPLETED,Full Thickness Macular Hole,OTHER: retrospective data analysis,"macular hole closure rate, postsurgical closure of macular holes is examined from routine postsurgical optical coherence tomography (OCT) imaging, up to 3 months after surgery",Vienna Institute for Research in Ocular Surgery,42,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-06-01
NCT02650739,Optical Coherence Tomography-based Positioning for Macular Hole Surgery,https://clinicaltrials.gov/study/NCT02650739,COMPLETED,Macular Hole Surgery,PROCEDURE: Macular hole surgery,"Macular hole closure, Closure of macular hole, Changes from baseline to 1, 2 months",Kyorin University,125,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-05
NCT03713268,Intraoperative OCT Guidance of Intraocular Surgery II,https://clinicaltrials.gov/study/NCT03713268,RECRUITING,Macular Holes|Epiretinal Membrane|Diabetic Retinopathy|Retinal Detachment|Retinal Disease|Preretinal Fibrosis|Cataract|Ocular Tumor|Strabismus|Healthy,DEVICE: Microscope integrated optical coherence tomography,"Retinal and/or corneal microscope integrated optical coherence tomography image capture, Ability to capture images, Year 1|Quality of retinal and/or corneal microscope integrated optical coherence tomography image capture, Quality of MIOCT images scored based on standard microanatomy and ability to detect presence or absence of ocular pathologies based on review by a masked grader., Year 1|Retinal vascular flow on optical coherence tomography angiography (OCTA) versus fluorescein angiography, Cross correlation of ability to capture vessels and vessel pathology between OCTA and fluorescein angiographic images., Year 1|Assessment of change in pattern of ocular vascular flow before and after standard clinical surgical steps., Presence or absence of change in ocular morphology in pattern of vascular flow compared to prior to surgical steps, Year 1|Assessment of change in ocular morphology before and after standard surgical steps, Presence or absence of change in ocular morphology before and after standard surgical steps, Year 1|Estimate of subretinal fluid volume before and after surgery for retinal detachment based on surgical view versus based on OCT output, Volume estimates from surgeons analyzed relative to the postoperative calculated volume from the intraoperative MIOCT, Year 1",Duke University,262,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-09-30
NCT02660320,"Comparison of the Efficacy of Micro-holes vs. Laser-assisted Dermabrasion, for Repigmenting in Vitiligo Skin",https://clinicaltrials.gov/study/NCT02660320,COMPLETED,Vitiligo - Macular Depigmentation,DEVICE: Dermabrasion|DEVICE: Laser placebo,"Rate of repigmentation lesions, Rate of repigmentation lesions at 3 months, at 3 months",Centre Hospitalier Universitaire de Nice,5,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2016-02
NCT05223205,Optical Coherence Tomography Angiography Characteristics of Patients With Surgically Closed Full-thickness Idiopathic Macular Holes < 600 μm With Air Versus 10% SF6 Tamponade,https://clinicaltrials.gov/study/NCT05223205,COMPLETED,Macular Holes|Optical Coherence Tomography,PROCEDURE: Air|PROCEDURE: 10% SF6 and 90% air,"Macular hole closure, 2 weeks",Medical University of Graz,40,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-07-06
NCT05757349,Analysis of Novel Positioning Sensor-assisted Postoperative Position Correction and Effective Prone Time Recorded in Patients With Different Prone Times After Macular Hole Surgery,https://clinicaltrials.gov/study/NCT05757349,RECRUITING,Idiopathic Macular Hole|Effective Prone Time,BEHAVIORAL: Face-down position time 1-day|BEHAVIORAL: Face-down position time 3-day,"Macular hole closure rate, Ratio of patients with postoperative lacunae that remained closed until the end of the follow-up time to the number of patients who reopened during the follow-up time of those who did not close after surgery, 6 month postoperatively|Effective face-down position time, Novel positioning sensor related data cloud storage platform can record and extract effective face-down position time., 1 or 3 day postoperatively",Tianjin Medical University Eye Hospital,86,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2022-10-01
NCT03946267,Infracyanine Green vs Brilliant Blue G in Macular Hole Inverted Flap Surgery: A Swept Source OCT Analysis.,https://clinicaltrials.gov/study/NCT03946267,COMPLETED,Macular Holes,DEVICE: Inverted inner limiting membrane flap technique for large full thickness macular holes,"Postoperative macular hole closure rate and morphology, Evaluated by swept-source OCT (Topcon DRI OCT Triton Series), twelve months|Postoperative mean corrected distance visual acuity, measured in logMAR notation using Early Treatment of Diabetic Retinopathy Study charts (CC-100XP LCD System for ETDRS Chart display), twelve months|Postoperative sizes of ellipsoid zone (EZ) and external limiting membrane (ELM) defects, Measured in micrometers by three-dimensional (3D) volumetric scan with swept-source OCT (Topcon DRI OCT Triton Series), twelve months|Thickness maps of the 1 mm central foveal thickness; second 3-mm grid including parafoveal macular area; second and the third 6-mm grid including parafoveal and perifoveal ganglion cells and inner plexiform layer; peripapillary nerve fiber layer., Measured in micrometers by auto-segmentation software (Topcon Advanced Boundary Software - TABSTM), twelve months",Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone Palermo,43,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-01-09
NCT04883697,Retrospective Evaluation of Risk Factors for Lower Outcomes After Vitrectomy With ILM Flap Technique,https://clinicaltrials.gov/study/NCT04883697,COMPLETED,Macular Holes,OTHER: vitrectomy with ILM peeling and ILM flap technique,"visual acuity, best corrected distance visual acuity, change between visual acuity 2-6 months postoperative to baseline|macular hole closure, closure of the macular hole assesed with OCT, 2-6 months postoperative",Vienna Institute for Research in Ocular Surgery,71,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-01-01
NCT01162356,Prospective Retinal and Optic Nerve Vitrectomy Evaluation (PROVE) Study,https://clinicaltrials.gov/study/NCT01162356,COMPLETED,Glaucoma|Macular Pucker|Macula Hole|Vitreomacular Traction|Vitreous Opacities or Hemorrhage,,"Nerve fiber layer and macular changes after vitrectomy, To determine the incidence of nerve fiber layer (NFL) and macular changes after pars plana vitrectomy, characterize their extent and quality, and determine pre-disposing risk factors., 3 month and annually for 5 years after surgery",Vanderbilt University,45,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-07
NCT04859556,"Performance, Safety and Efficiency Comparison Between 10,000 and 5,000 Cuts Per Minute Vitrectomy Using a 25G Cutter - A Prospective Randomized Controlled Study",https://clinicaltrials.gov/study/NCT04859556,COMPLETED,Vitreous Hemorrhage|Macula Hole|Epiretinal Membrane|Retinal Detachment,"DEVICE: Alcon 25Gauge, 10,000 cuts per minute Ultravit cutter|DEVICE: Alcon 25Gauge, 5,000 cuts per minute Ultravit cutter","Vitrectomy time, The time needed to remove all vitreous, 1 day",The University of Hong Kong,52,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2018-05-01
NCT02295943,Objective Evaluation of Postoperative Positioning in Macular Hole Surgery,https://clinicaltrials.gov/study/NCT02295943,TERMINATED,Macular Hole,OTHER: Positioning measuring device,"Macular hole closure, 2 weeks",Helse Stavanger HF,205,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-11
NCT03597867,PGE2 Levels in Patient Treated With NSAIDs,https://clinicaltrials.gov/study/NCT03597867,COMPLETED,Ocular Inflammation,OTHER: Placebo|DRUG: Dicloftil|DRUG: Nevanac|DRUG: Indom|DRUG: Yellox,"Vitreous NSAIDs and PGE2 levels, 3 days after topical NSAID administration",University of Trieste,104,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2018-04-25
NCT03528122,Amniotic Membrane for Recurrent Macular Hole,https://clinicaltrials.gov/study/NCT03528122,UNKNOWN,Macula Hole|Retinal Detachment|Myopic Macular Degeneration,PROCEDURE: Recurrent opened macular hole,"Anatomical restoration of macular hole closure, Closure of the macular hole, 6 months",Minia University,20,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-02-01
NCT02180633,Unveiling Preclinical Idiopathic Macular Hole Formation,https://clinicaltrials.gov/study/NCT02180633,COMPLETED,Idiopathic Macular Hole,OTHER: Optical Coherence Tomography Scan,"Macular Topography, When a patient that fits into the description of either the case or the control group comes in for a routine visit, a routine optical coherence tomography scan is performed. These scans are non-invasive and common in ophthalmological visits., at 1 visit",University of Coimbra,200,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-05
NCT04535622,Efficacy of Exercise Program for Facedown Posture-related Pain After Retinal Surgery,https://clinicaltrials.gov/study/NCT04535622,COMPLETED,Macular Holes|Retinal Detachment,BEHAVIORAL: A structured exercise,"Final pain score at back neck, shoulder, and lower back, Pain score (numerical rating scale) at back neck, shoulder, and lower back at postoperative day 3 (discharge day). Possible scores range from 0 (no pain) to 10 (worst possible pain)., postoperative day 3",Samsung Medical Center,70,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2020-09-03
NCT05860985,Zeiss RESIGHT Disposable Lenses Evaluation Study,https://clinicaltrials.gov/study/NCT05860985,RECRUITING,Retinal Detachment|Macular Pucker|Macular Holes|Vitreomacular Traction,DEVICE: ZEISS disposable,"Ultra Wide Field lens View Angle evaluation, Ultra Wide Field lens View Angle: scale from 1 (far more indentation) to 5 (far less indentation), during surgery|Ultra Wide Field lens Condensation evaluation, Ultra Wide Field lens Condensation: scale from 1 (far more condensation) to 5 (far less condensation), during surgery|Wide Angle lens Condensation evaluation, Wide Angle lens Condensation: scale from 1 (far more condensation ) to 5 (far less condensation), during surgery|Illumination appearance evaluation, Illumination intensity required during the surgery : scale from 1 (significantly higher) to 5 (significantly lower), during surgery|Color appearance evaluation, color appearance during the surgery : scale from 1 (far less natural colors) to 5 (far better natural colors ), during surgery",Universitaire Ziekenhuizen KU Leuven,120,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-04-11
NCT00419185,Indocyanine Green or Trypan Blue for Delamination of the Internal Limiting Membrane in Macular Hole Surgery,https://clinicaltrials.gov/study/NCT00419185,COMPLETED,Idiopathic Macular Hole,PROCEDURE: Delamination of the Internal limiting membrane,Primary outcome was ETDRS visual acuity (VA: snellen equivalent) at two meters 3 months after surgery.|Assignment to ICG or TB dye was performed by the Institute of Medical Biometry and Statistics of the University Luebeck per telephone immediately before surgery. Allocation to treatment arms was done with a permuted block randomization with block size 20,University of Luebeck,40,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE|Primary Purpose: TREATMENT,2003-04
NCT01757600,Microperimetry and Optical Coherence Tomography (OCT) in Idiopathic Macular Hole,https://clinicaltrials.gov/study/NCT01757600,COMPLETED,Macular Hole,OTHER: Microperimetry,"Macular sensitivity, To describre mean retinal sensitivity in the 12 and 4 central degrees of the retina in 23 patients one-year after macular hole surgery and thus to correlate macular sensitivities and retinal anatomic features in SD-OCT, 12 months",Centre Hospitalier Universitaire Dijon,23,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-08
NCT03452748,Fourier Transformed Infrared Spectroscopy in Macular Surgery,https://clinicaltrials.gov/study/NCT03452748,COMPLETED,Epiretinal Membrane|Macular Hole,DEVICE: FTIR spectroscopy,"collagen, occurrence of different types of collagen fibres in the excised membranes, 3 months",Vienna Institute for Research in Ocular Surgery,50,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2017-01-01
NCT04527848,Comparison of Two Intraocular Gas Injection Techniques in Macula Hole Surgery,https://clinicaltrials.gov/study/NCT04527848,COMPLETED,Macular Holes,DRUG: small amount of undiluted C3F8,"Gas duration, duration of intraocular gas, up to 60 days|macula hole closure, closure of the macular hole after the primary surgical procedure, 26 weeks",Universidade Federal de Pernambuco,48,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2016-05-10
NCT05828251,Full Thickness Macular Hole; Should it be Handled Subacutely?,https://clinicaltrials.gov/study/NCT05828251,RECRUITING,Full Thickness Macular Hole,PROCEDURE: Vitrectomy (Sequential phakoemulsification and vitrectomy)|PROCEDURE: Combined phako-vitrectomy|PROCEDURE: Phako (Sequential phakoemulsification and vitrectomy),"Visual acuity, Best corrected visual acuity measured with ETDRS, the ETDRS scoe will be converted to LogMAR, 12 months after vitrectomy","Rigshospitalet, Denmark",56,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-04-30
NCT01471912,Elongation of Foveal Tissue After Macular Hole Surgery,https://clinicaltrials.gov/study/NCT01471912,COMPLETED,Macular Holes,PROCEDURE: pars plana vitrectomy and fluid gas exchange,"Changes in the inter-outer plexiform layer distance, the spectral domain optical coherence tomography scannings were performed at first postoperative visit, 1 month, 2 months, and 6 months after macular hole surgery. The inter-outer plexiform layer distance was measured based on optical coherence tomography images at defined time points, first postoperative visit, 1 month, 2 months, and 6 months after macular hole surgery|Changes in best-corrected visual acuity, Best-corrected visual acuity was measured using early treatment diabetic retinopathy study chart at defined time points, first postoperative visit, 2 months, and 6 months after macular hole surgery|Changes in degree of metamorphopsia, The degree of metamorphopsia was measured using Metamorphopsia-chart at defined time points, first postoperative visit, 2 months, and 6 months after macular hole surgery|Degree of percent asymmetric elongation on the same plane, The horizontal percent asymmetry was calculated as (nasal distance - temporal distance)/(nasal distance + temporal distance). The vertical percent asymmetry was also calculated as (superior distance - inferior distance)/ (superior distance + inferior distance., at 6 months postoperative|Degree of horizontal-vertical percent asymmetry, The percent asymmetry was calculated as (horizontal inter-outer plexiform layer distance - vertical inter-outer plexiform layer distance)/(horizontal inter-outer plexiform layer distance + vertical inter-outer plexiform layer distance)., at 6 months postoperative",Samsung Medical Center,31,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2009-09
NCT05494242,Single Superior ILM/ERM Flap for the FTMH.,https://clinicaltrials.gov/study/NCT05494242,COMPLETED,Ophthalmopathy,OTHER: Surgical intervention,"Anatomical outcome, OCT, The fourth weeks post-operatively",Omer Othman Abdullah,5,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2022-09-01
NCT03701542,The Application of M-charts and Microperimetry for the Assessment of Visual Function in Patients After Vitrectomy Due to the Full Thickness Macular Hole.,https://clinicaltrials.gov/study/NCT03701542,COMPLETED,Macular Holes|Microperymetry|Vitrectomy|M-charts,DIAGNOSTIC_TEST: Microperymetry|DIAGNOSTIC_TEST: M-charts,"The best-corrected visual acuity (BCVA), Acuity is a measure of visual performance. The eye exam seeks to find the prescription that will provide the best corrected visual performance achievable, 1 to 6 months|Amsler test, The Amsler grid, consisting of evenly spaced horizontal and vertical lines, has been widely used since 1947 to test the metamorphopsia., 1 to 6 months|Central retinal thickness, Quantitative thickness measurements derived from the ""fast macular scan"" algorithm report retinal thickness at several locations including the center point, central subfield, and 4 inner and 4 outer zones of the macula., 1 to 6 months",Medical University of Lublin,22,OBSERVATIONAL,Observational Model: |Time Perspective: p,2016-01-01
NCT02011165,An Objective Evaluation of Postoperative Positioning in Macular Hole Surgery,https://clinicaltrials.gov/study/NCT02011165,COMPLETED,Macular Hole,PROCEDURE: Positioning measuring device,"Time in supine sleeping position, Two days",Helse Stavanger HF,43,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-10
NCT03383731,A Study of a New Surgical Treatment of Macular Hole Retinal Detachment in High Myopia,https://clinicaltrials.gov/study/NCT03383731,UNKNOWN,Macular Holes|Retinal Detachment|High Myopia,PROCEDURE: Group 1|PROCEDURE: Group 2,"Macular hole closure rate, Fundus examination combined with optical coherence tomography (OCT) are performed 3 months after surgery., 3 months after operation","Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",38,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2017-04-07
