NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT00999791,Intravitreal Diclofenac Versus Avastin as Primary Treatment of Diffuse Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT00999791,UNKNOWN,Diffuse Diabetic Macular Edema,DRUG: Bevacizumab|DRUG: Diclofenac,,Shahid Beheshti University of Medical Sciences,,INTERVENTIONAL,Allocation: |Intervention Model: PARALLEL|Masking: |Primary Purpose: TREATMENT,2009-07
NCT00896779,Lucentis in Advanced Macular Degeneration,https://clinicaltrials.gov/study/NCT00896779,COMPLETED,Macular Degeneration,DRUG: ranibizumab,"Mean Change in Visual Acuity, Change in vision from baseline measurement at 12 months. Standard ETDRS chart (80 letters) was used to determine visual acuity with test luminance of 45 cd/m \^2 at 8 feet. Number of correctly read letters were reported., 12 months",Steven R. Sanislo,20,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2009-10
NCT01673191,A 3-Month Clinical Trial to Assess the Safety and Efficacy of the OZURDEX® Intraocular Implant in Patients With Diabetes Mellitus,https://clinicaltrials.gov/study/NCT01673191,COMPLETED,Macular Edema|Diabetes Mellitus,DRUG: Dexamethasone intravitreal implant|DRUG: Steroid plus NSAID eye drop combination therapy,"Mean Change in Best Corrected Visual Acuity, 1 months|Mean Change in Best Corrected Visual Acuity, 2 months|Mean Change in Best Corrected Visual Acuity, 3 months|Mean Change in Central Retinal Thickness, 1 month|Mean Change in Central Retinal Thickness, 2 months|Mean Change in Central Retinal Thickness, 3 months|Mean Change in Intraocular Pressure, 3 months",Retinal Consultants of Arizona,40,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2012-11
NCT03953079,A Depot Formulation of Sunitinib Malate (GB-102) Compared to Aflibercept in Subjects With Wet AMD,https://clinicaltrials.gov/study/NCT03953079,COMPLETED,Neovascular Age-Related Macular Degeneration,DRUG: Drug: GB-102|DRUG: Aflibercept,"Time to First Rescue Treatment, Kaplan-Meier estimate of the median time to first rescue treatment., Baseline through 12 months",Graybug Vision,56,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2019-09-26
NCT03832179,Steroid vs. Anti-vascular Endothelial Growth Factor for Diabetic Macular Edema Prior to Phacoemulsification,https://clinicaltrials.gov/study/NCT03832179,RECRUITING,Diabetic Macular Edema|Cataract,DRUG: Bevacizumab|DRUG: Ranibizumab|DRUG: Aflibercept|DRUG: Ozurdex,"Comparison of central foveal thickness outcomes of anti-vascular endothelial growth factor vs. Ozurdex therapy, Central foveal thickness will be measured in microns by spectral domain optical coherence tomography (Heidelberg) and compared to baseline at post-operative week 1, postoperative month 1, postoperative month 2, and postoperative month 3 for both anti-vascular endothelial growth factor and Ozurdex groups, 3 months after cataract surgery",Bay Area Retina Associates,32,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-11-15
NCT01749891,A Safety And Efficacy Study Of ALG-1001 In Human Subjects With Wet Age-Related Macular Degeneration,https://clinicaltrials.gov/study/NCT01749891,COMPLETED,Macular Degeneration,DRUG: ALG 1001,"Observation of dose limiting toxicity., The primary endpoint of this study is observation of dose limiting toxicity and the maximum tolerated dose. The determination will be made by ocular adverse events by standard clinical ophthalmic evaluation, visual acuity changes at baseline by slit lamp biomicroscopy, tonometry, indirect ophthalmoscopy/ fundus photography, fluorescein angiography, OCT (optical coherence tomography) central macular thickness., 6 months","Allegro Ophthalmics, LLC",25,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2012-03
NCT01778491,AMD Phenotype and Genotype Study,https://clinicaltrials.gov/study/NCT01778491,COMPLETED,Age-Related Macular Degeneration|AMD,,"Allow users to assess phenotypes of AMD, 5 years|Develop and evaluate potential markers and risk, 5 years|Develop and evaluate an AMD classification scheme(s), 5 years|Assess the progression of the disease and investigate that shape it., 5 years",National Eye Institute (NEI),344,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-11-05
NCT00572039,Improving Function in Age-Related Macular Degeneration,https://clinicaltrials.gov/study/NCT00572039,COMPLETED,Age-Related Macular Degeneration,BEHAVIORAL: PST|BEHAVIORAL: ST,"Targeted Vision Function (TVF), We identified and quantified the TVF goals that subjects valued but found difficult to achieve. To derive the TVF measure, at baseline subjects completed the Activities Inventory, a structured vision function questionnaire that asks patients to rate the value and difficulty of 48 vision function goals (e.g., daily meal preparation) and the tasks (e.g., seeing stove settings) that are required to achieve them. If a goal is important (range of 0 \[not important\]to 4 \[very important\]), the subject rates its ""difficulty"" (on a scale of 0 \[not difficult\] to 4 \[impossible\]). The average TVF score is the sum of the difficulty ratings of the (up to) 4 self-selected goals divided by the number of goals (from 1 to 4). Higher average scores indicate greater disability. At each outcome assessment subjects again rated the difficulty of the same targeted goals and the average TVF score was calculated., 3-Months|Targeted Vision Function, We identified and quantified the TVF goals that subjects valued but found difficult to achieve. To derive the TVF measure, at baseline subjects completed the Activities Inventory, a structured vision function questionnaire that asks patients to rate the value and difficulty of 48 vision function goals (e.g., daily meal preparation) and the tasks (e.g., seeing stove settings) that are required to achieve them. If a goal is important (range of 0 \[not important\]to 4 \[very important\]), the subject rates its ""difficulty"" (on a scale of 0 \[not difficult\] to 4 \[impossible\]). The average TVF score is the sum of the difficulty ratings of the (up to) 4 self-selected goals divided by the number of goals (from 1 to 4). Higher average scores indicate greater disability. At each outcome assessment subjects again rated the difficulty of the same targeted goals and the average TVF score was calculated., 6 months",Thomas Jefferson University,241,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2005-08
NCT00712491,Phase 1/2 Study of an Ocular Sirolimus (Rapamycin) Formulation in Patients With Age-Related Macular Degeneration,https://clinicaltrials.gov/study/NCT00712491,TERMINATED,Age-related Macular Degeneration|Choroidal Neovascularization,DRUG: Sirolimus|DRUG: Sirolimus,"Best-corrected visual acuity by ETDRS, 180 days",Santen Inc.,20,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2008-09
NCT04439708,Biomarkers and Choroidal Neovascularization,https://clinicaltrials.gov/study/NCT04439708,UNKNOWN,Choroidal Neovascularization|Mineralocorticoid Excess,OTHER: Blood and aqueous humor biomarker of treatment response,"biomarker analysis in blood and aqueous humor of patients with neovascularization and controls, Biomarker concentrations (pg/ml) will be evaluated with ELISA (Enzyme Linked ImmunoSorbent Assay)., 24 months|biomarker analysis in blood and aqueous humor of patients with neovascularization and controls, Biomarker concentrations (pg/ml) will be evaluated with Mulitplex Biorad., 24 months","Institut National de la Santé Et de la Recherche Médicale, France",250,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-06-15
NCT00963339,Age-Related Macular Degeneration (AMD) - Usability Study,https://clinicaltrials.gov/study/NCT00963339,COMPLETED,Age Related Macular Degeneration,DEVICE: Foresee Home,"Successful unpacking and installation, 3 months|Successful self tutorial performance, 3 months|Ability of the subjects to operate the device as define by a successful test completion, 3 months",Notal Vision Ltd.,54,OBSERVATIONAL,Observational Model: |Time Perspective: p,2009-09
NCT02581891,"Managing Neovascular (Known as ""Wet"") Age-related Macular Degeneration Over 2 Years Using Different Treatment Schedules of 2 mg Intravitreal Aflibercept Injected in the Eye",https://clinicaltrials.gov/study/NCT02581891,COMPLETED,Macular Degeneration,"DRUG: Eylea (Intravitreal Aflibercept, VEGF Trap-Eye, BAY86-5321)|DRUG: Eylea (Intravitreal Aflibercept, VEGF Trap-Eye, BAY86-5321)","Change in BCVA as Measured by the ETDRS Letter Score, BCVA (best corrected visual acuity) was measured by the ETDRS (Early Treatment Diabetic Retinopathy Study) letter score of 73 to 25 (= Acuity of 20/40 to 20/320) in the study eye at 4 meters; a higher score represents better functioning., From Week 16 to Week 104",Bayer,287,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-11-19
NCT01909791,Treatment for CI-DME in Eyes With Very Good VA Study,https://clinicaltrials.gov/study/NCT01909791,COMPLETED,Diabetic Macular Edema,PROCEDURE: Prompt Laser|DRUG: Prompt aflibercept|PROCEDURE: Deferred laser|DRUG: Deferred aflibercept,"Number of Eyes With at Least 5-letter Decrease in E-ETDRS Visual Acuity Letter Score From Baseline, Best-corrected visual acuity following protocol-defined refraction. Visual Acuity was measured with the Electronic Early Treatment Diabetic Retinopathy Study (E-ETDRS) visual acuity test on a scale from 100 letters (Snellen equivalent of 20/12) to 0 letters (Snellen equivalent of 20/800)., 2 years",Jaeb Center for Health Research,702,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2013-10
NCT03551808,Prophylactic Effect of Ketorolac Tromethamine on the Cystoid Macular Edema After Phacoemulsification in Diabetic Patients,https://clinicaltrials.gov/study/NCT03551808,UNKNOWN,Cystoid Macular Edema After Phacoemulsification,DRUG: using of Ketorolac Tromethamine Eye Drop,"Best Corrected visual acuity, Snellen visual acuity chart, 24 weeks after the surgery",Shahid Beheshti University of Medical Sciences,102,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: PREVENTION",2017-01-01
NCT02712008,Anti-vasculaR Endothelial Growth Factor plUs Anti-angiopoietin 2 in Fixed comBination therapY: Evaluation for the Treatment of Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT02712008,COMPLETED,Diabetic Macular Edema,DRUG: REGN910-3|DRUG: Intravitreal Aflibercept Injection (IAI),"Change From Baseline in Best Corrected Visual Acuity (BCVA) Measured by Early Treatment Diabetic Retinopathy Study (ETDRS) Letter Score at Week 12, Visual function of the study eye was assessed using the Early Treatment Diabetic Retinopathy Study (ETDRS) protocol at 4 meters. Best Corrected Visual Acuity (BCVA) score was measured using an eye chart and was reported as the number of letters read correctly at a testing distance of 4 meters using the ETDRS Scale (ranging from 0 to 100 letters) in the study eye. The lower the number of letters read correctly on the eye chart, the worse the vision (or visual acuity). An increase in the number of letters read correctly means that vision has improved. Change from baseline calculated by subtracting baseline value from observed post-baseline value at Week 12., Baseline, Week 12|Change From Baseline in Best Corrected Visual Acuity (BCVA) Measured by Early Treatment Diabetic Retinopathy Study (ETDRS) Letter Score at Week 36, Visual function of the study eye was assessed using the Early Treatment Diabetic Retinopathy Study (ETDRS) protocol at 4 meters. BCVA score was measured using an eye chart and was reported as the number of letters read correctly at a testing distance of 4 meters using the ETDRS Scale (ranging from 0 to 100 letters) in the study eye. The lower the number of letters read correctly on the eye chart, the worse the vision (or visual acuity). An increase in the number of letters read correctly means that vision has improved. Change from baseline calculated by subtracting baseline value from observed post-baseline value at Week 36., Baseline, Week 36",Regeneron Pharmaceuticals,302,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2016-03-02
NCT03056079,Cytokine and Visual Outcome Variations in Eyes Receiving Aflibercept,https://clinicaltrials.gov/study/NCT03056079,RECRUITING,Age Related Macular Degeneration|Diabetic Macular Edema|Retinal Vein Occlusion|Macular Edema,DRUG: Intravitreal aflibercept,"Association between cytokine levels and optimal treatment interval, Optimal interval between injections based on aqueous cytokine levels, 18 months",Unity Health Toronto,168,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2017-02-28
NCT03108352,Conbercept Ophthalmic Injection for Patients With Macular Edema Caused by Branch Retinal Vein Occlusion,https://clinicaltrials.gov/study/NCT03108352,COMPLETED,Branch Retinal Vein Occlusion|Macular Edema,DRUG: Conbercept ophthalmic injection|OTHER: sham/Conbercept ophthalmic injection,"Best Corrected Visual Acuity, Compare mean changes in Best Corrected Visual Acuity (BCVA) from baseline between the Conbercept ophthalmic injection treatment group (treatment group) and the control group at month 6., month 6","Chengdu Kanghong Biotech Co., Ltd.",255,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2016-04-13
NCT03112005,Assessment of EyeArt as an Automated Diabetic Retinopathy Screening Tool,https://clinicaltrials.gov/study/NCT03112005,COMPLETED,Diabetic Retinopathy|Diabetic Eye Problems|Diabetic Macular Edema,PROCEDURE: Color fundus photography|DRUG: Mydriatic Agent,"Number of subject eyes whose EyeArt results match the reading center grading for identifying referable diabetic eye disease (moderate NPDR or higher on the ICDR scale or surrogate markers for CSME)., The performance of EyeArt will be evaluated using sensitivity and specificity measures., 1 visit (1 day)|Number of subject eyes whose EyeArt results match the reading center grading for identifying vision threatening diabetic eye disease (severe NPDR or PDR or surrogate markers for CSME)., The performance of EyeArt will be evaluated using sensitivity and specificity measures., 1 visit (1 day)","Eyenuk, Inc.",942,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-04-17
NCT06203106,NYSCF Scientific Discovery Biobank,https://clinicaltrials.gov/study/NCT06203106,RECRUITING,"ALS|Amyotrophic Lateral Sclerosis|Alzheimer Disease|Alzheimer Disease, Early Onset|Alzheimer Disease, Late Onset|Batten Disease|Corticobasal Degeneration|Dementia|Frontotemporal Dementia|Huntington Disease|Lewy Body Disease|Multiple Sclerosis|Multiple System Atrophy|Parkinson Disease|Parkinson's Disease and Parkinsonism|Progressive Supranuclear Palsy|INAD|Diabetes|Diabetes Mellitus|Diabetes Mellitus, Type 2|Diabetes Mellitus, Type 1|Macular Degeneration|Ovarian Cancer|Cervical Cancer|Uterine Cancer|Vaginal Cancer|Vulvar Cancer|PTSD|Post Traumatic Stress Disorder",OTHER: Biological Sample Collection,"Biobank, Establishment of a diverse repository of biological samples, stem cell lines, derivatives, and associated information to support investigations into the biology, etiology, manifestations, progression, risk factors, genetic underpinnings, and treatment of diseases, conditions, and traits., Baseline",New York Stem Cell Foundation Research Institute,10000,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-11-10
NCT00523406,Comparison of Reduced Fluence Versus Standard Photodynamic Therapy (in Combination With Intravitreal Triamcinolone Acetate),https://clinicaltrials.gov/study/NCT00523406,COMPLETED,Macular Degeneration,PROCEDURE: Photodynamic therapy and intravitreal triamcinolone,"• Chorioretinal perfusion. • Perfusion of the neovascular net (CNV). • Changes of intraretinal morphologies. • Central visual function., one year",Medical University of Vienna,40,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2005-08
NCT02016508,Safety Study of Use of Autologous Bone Marrow Derived Stem Cell in Treatment of Age Related Macular Degeneration,https://clinicaltrials.gov/study/NCT02016508,UNKNOWN,Age Related Macular Degeneration,DRUG: autologous bone marrow derived stem cells,"number of subjects with adverse events, Descriptive analysis of frequency and types of adverse events experienced by each subject during the study period, 6 months",Al-Azhar University,1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-03
NCT05989126,Study to Evaluate an 8 mg Aflibercept (EYLEA®) Prefilled Syringe (PFS),https://clinicaltrials.gov/study/NCT05989126,NOT_YET_RECRUITING,Diabetic Macular Edema (DME)|Neovascular Age-Related Macular Degeneration (nAMD),DRUG: aflibercept 8 mg PFS,"Number of 8 mg aflibercept injections successfully administered utilizing the PFS, Participants received a single dose of study drug, administered in the selected study eye with the PFS by a retina specialist. Physician assessed successful aflibercept preparation and administration with the PFS., At Day 1",Regeneron Pharmaceuticals,35,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-01-09
NCT01445626,A Retrospective Data Collection Study in Patients Receiving Dexamethasone Intravitreal Implant (Ozurdex®) for Macular Oedema Due to Retinal Vein Occlusion (RVO),https://clinicaltrials.gov/study/NCT01445626,COMPLETED,Macular Edema,DRUG: dexamethasone intravitreal implant 0.7 mg,"Time to OZURDEX® Re-injection, Time to OZURDEX® re-injection is the time in days between the first and second OZURDEX® injections., Up to 12 months",Allergan,87,OBSERVATIONAL,Observational Model: |Time Perspective: p,2011-10
